市场,代码,名称
上海,000031,大悦城
上海,000032,深桑达Ａ
上海,000034,神州数码
上海,000035,中国天楹
上海,000036,华联控股
上海,000037,深南电A
上海,000039,中集集团
上海,000042,中洲控股
上海,000045,深纺织Ａ
上海,000048,京基智农
上海,000049,德赛电池
上海,000050,深天马Ａ
上海,000055,方大集团
上海,000056,皇庭国际
上海,000058,深 赛 格
上海,000059,华锦股份
上海,000060,中金岭南
上海,000061,农 产 品
上海,000062,深圳华强
上海,000063,中兴通讯
上海,000065,北方国际
上海,000066,中国长城
上海,000068,华控赛格
上海,000069,华侨城Ａ
上海,000078,海王生物
上海,000088,盐 田 港
上海,000089,深圳机场
上海,000090,天健集团
上海,000096,广聚能源
上海,000099,中信海直
上海,000100,TCL科技
上海,000151,中成股份
上海,000153,丰原药业
上海,000155,川能动力
上海,000156,华数传媒
上海,000157,中联重科
上海,000158,常山北明
上海,000159,国际实业
上海,000166,申万宏源
上海,000301,东方盛虹
上海,000333,美的集团
上海,000338,潍柴动力
上海,000400,许继电气
上海,000401,冀东水泥
上海,000402,金 融 街
上海,000403,派林生物
上海,000404,长虹华意
上海,000407,胜利股份
上海,000408,藏格矿业
上海,000409,云鼎科技
上海,000410,沈阳机床
上海,000411,英特集团
上海,000415,渤海租赁
上海,000417,合百集团
上海,000419,通程控股
上海,000420,吉林化纤
上海,000421,南京公用
上海,000422,湖北宜化
上海,000423,东阿阿胶
上海,000425,徐工机械
上海,000426,兴业银锡
上海,000428,华天酒店
上海,000429,粤高速Ａ
上海,000498,山东路桥
上海,000501,武商集团
上海,000503,国新健康
上海,000504,南华生物
上海,000505,京粮控股
上海,000507,珠海港
上海,000509,华塑控股
上海,000510,新金路
上海,000513,丽珠集团
上海,000514,渝 开 发
上海,000516,国际医学
上海,000517,荣安地产
上海,000518,四环生物
上海,000519,中兵红箭
上海,000520,凤凰航运
上海,000521,长虹美菱
上海,000523,红棉股份
上海,000524,岭南控股
上海,000526,学大教育
上海,000528,柳 工
上海,000529,广弘控股
上海,000530,冰山冷热
上海,000531,穗恒运Ａ
上海,000532,华金资本
上海,000533,顺钠股份
上海,000534,万泽股份
上海,000536,华映科技
上海,000537,中绿电
上海,000538,云南白药
上海,000539,粤电力Ａ
上海,000541,佛山照明
上海,000543,皖能电力
上海,000544,中原环保
上海,000545,金浦钛业
上海,000546,金圆股份
上海,000547,航天发展
上海,000548,湖南投资
上海,000550,江铃汽车
上海,000551,创元科技
上海,000552,甘肃能化
上海,000553,安道麦A
上海,000554,泰山石油
上海,000555,神州信息
上海,000557,西部创业
上海,000558,天府文旅
上海,000559,万向钱潮
上海,000560,我爱我家
上海,000561,烽火电子
上海,000563,陕国投Ａ
上海,000564,供销大集
上海,000565,渝三峡Ａ
